indicator,label
AOMPC_BBL,"Economic Activity, Oil Production, Crude, Barrels"
LE_PE_FY_NUM,"Labor Markets, Employment, Persons, Number of, Fiscal Year"
LLF_PE_FY_NUM,"Labor Markets, Labor Force, Persons, Number of, Fiscal Year"
LU_PE_FY_NUM,"Labor Markets, Unemployment, Persons, Number of, Fiscal Year"
NCGG_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Public Sector (General Government and Public Corporations), General Government, Nominal, Fiscal Year, National Currency"
NCGG_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Public Sector (General Government and Public Corporations), General Government, Real, Fiscal Year, National Currency"
NCPHI_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Households (Individual), Nominal, Fiscal Year, National Currency"
NCPHI_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Households (Individual), Real, Fiscal Year, National Currency"
NCPHN_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Non-profit Institutions Serving Households (NPISHs) (Individual), Nominal, Fiscal Year, National Currency"
NCPHN_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Final Consumption Expenditure, Private Sector (Households and Non-profit Institutions Serving Households), Non-profit Institutions Serving Households (NPISHs) (Individual), Real, Fiscal Year, National Currency"
NFG_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Acquisitions less Disposals of Valuables, Nominal, Fiscal Year, National Currency"
NFG_R_FY_XDC,"National Accounts, Expenditure, Gross Domestic Product, Gross Capital Formation, Acquisitions less Disposals of Valuables, Real, Fiscal Year, National Currency"
NGDPNPI_BY2015-2016_XDC,"National Accounts, GDP-GNP Relation, Net Primary Income from Abroad, Nominal, National Currency (base 2015-16)"
NGDPNPI_XDC,"National Accounts, GDP-GNP Relation, Net Primary Income from Abroad, Nominal, National Currency"
NGDPS_XDC,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency"
NGDPT_R_BY2015-2016_XDC,"National Accounts, Activity, Memorandum Items, Taxes on Products, Real, National Currency (base 2015-16)"
NGDPT_XDC,"National Accounts, Activity, Memorandum Items, Taxes on Products, Nominal, National Currency"
NGDPVA_ISIC4_A011T013_XDC,"National Accounts, Activity, Memorandum Items, Gross Value Added, Nominal, By International Standard Industrial Classification of All Economic Activities (ISIC) Rev. 4, Agriculture, National Currency"
