date,series,value,unit,source_id,frequency
2023-09-30,PAK_CGO_NR_GR_TR_S_CL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2023-12-31,PAK_CGO_NR_GR_TR_S_CL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-03-31,PAK_CGO_NR_GR_TR_S_CL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-06-30,PAK_CGO_NR_GR_TR_S_CL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-09-30,PAK_CGO_NR_GR_TR_S_CL_XDC,10193.410254,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-12-31,PAK_CGO_NR_GR_TR_S_CL_XDC,25484.948359,million PKR,mof_central_govt_operations_sdmx,quarterly
2025-03-31,PAK_CGO_NR_GR_TR_S_CL_XDC,37268.190907,million PKR,mof_central_govt_operations_sdmx,quarterly
2023-09-30,PAK_CGO_NR_GR_TR_S_NAL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2023-12-31,PAK_CGO_NR_GR_TR_S_NAL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-03-31,PAK_CGO_NR_GR_TR_S_NAL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-06-30,PAK_CGO_NR_GR_TR_S_NAL_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-09-30,PAK_CGO_NR_GR_TR_S_NAL_XDC,3010.82,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-12-31,PAK_CGO_NR_GR_TR_S_NAL_XDC,10215.71,million PKR,mof_central_govt_operations_sdmx,quarterly
2025-03-31,PAK_CGO_NR_GR_TR_S_NAL_XDC,17774.72,million PKR,mof_central_govt_operations_sdmx,quarterly
2023-09-30,PAK_CGO_NR_GR_TR_S_OTG_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2023-12-31,PAK_CGO_NR_GR_TR_S_OTG_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-03-31,PAK_CGO_NR_GR_TR_S_OTG_XDC,0.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-06-30,PAK_CGO_NR_GR_TR_S_OTG_XDC,1998.94478,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-09-30,PAK_CGO_NR_GR_TR_S_OTG_XDC,1061.878103,million PKR,mof_central_govt_operations_sdmx,quarterly
2024-12-31,PAK_CGO_NR_GR_TR_S_OTG_XDC,8816.161509,million PKR,mof_central_govt_operations_sdmx,quarterly
2025-03-31,PAK_CGO_NR_GR_TR_S_OTG_XDC,11358.264455,million PKR,mof_central_govt_operations_sdmx,quarterly
2016-09-30,PAK_CGO_NR_GR_TR_S_XDC,56137.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2016-12-31,PAK_CGO_NR_GR_TR_S_XDC,110847.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2017-03-31,PAK_CGO_NR_GR_TR_S_XDC,154878.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2017-06-30,PAK_CGO_NR_GR_TR_S_XDC,203086.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2017-09-30,PAK_CGO_NR_GR_TR_S_XDC,47020.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2017-12-31,PAK_CGO_NR_GR_TR_S_XDC,84942.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2018-03-31,PAK_CGO_NR_GR_TR_S_XDC,146177.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2018-06-30,PAK_CGO_NR_GR_TR_S_XDC,211612.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2018-09-30,PAK_CGO_NR_GR_TR_S_XDC,66490.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2018-12-31,PAK_CGO_NR_GR_TR_S_XDC,142546.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2019-03-31,PAK_CGO_NR_GR_TR_S_XDC,206260.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2019-06-30,PAK_CGO_NR_GR_TR_S_XDC,306037.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2019-09-30,PAK_CGO_NR_GR_TR_S_XDC,144452.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2019-12-31,PAK_CGO_NR_GR_TR_S_XDC,288589.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2020-03-31,PAK_CGO_NR_GR_TR_S_XDC,386459.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2020-06-30,PAK_CGO_NR_GR_TR_S_XDC,447177.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2020-09-30,PAK_CGO_NR_GR_TR_S_XDC,18145.0,million PKR,mof_central_govt_operations_sdmx,quarterly
2020-12-31,PAK_CGO_NR_GR_TR_S_XDC,79833.0,million PKR,mof_central_govt_operations_sdmx,quarterly
