date,series,value,unit,source_id,frequency
2024-06-30,PAK_GGO_NR_GR_TR_S_CL_XDC,0.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-09-30,PAK_GGO_NR_GR_TR_S_CL_XDC,10193.410254,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-12-31,PAK_GGO_NR_GR_TR_S_CL_XDC,25484.948359,million PKR,mof_general_govt_operations_sdmx,quarterly
2025-03-31,PAK_GGO_NR_GR_TR_S_CL_XDC,37268.190907,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-06-30,PAK_GGO_NR_GR_TR_S_NAL_XDC,0.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-09-30,PAK_GGO_NR_GR_TR_S_NAL_XDC,3010.82,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-12-31,PAK_GGO_NR_GR_TR_S_NAL_XDC,10215.71,million PKR,mof_general_govt_operations_sdmx,quarterly
2025-03-31,PAK_GGO_NR_GR_TR_S_NAL_XDC,17774.72,million PKR,mof_general_govt_operations_sdmx,quarterly
2023-09-30,PAK_GGO_NR_GR_TR_S_OTG_XDC,0.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2023-12-31,PAK_GGO_NR_GR_TR_S_OTG_XDC,0.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-03-31,PAK_GGO_NR_GR_TR_S_OTG_XDC,0.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-06-30,PAK_GGO_NR_GR_TR_S_OTG_XDC,1998.94478,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-09-30,PAK_GGO_NR_GR_TR_S_OTG_XDC,1061.878103,million PKR,mof_general_govt_operations_sdmx,quarterly
2024-12-31,PAK_GGO_NR_GR_TR_S_OTG_XDC,8816.161509,million PKR,mof_general_govt_operations_sdmx,quarterly
2025-03-31,PAK_GGO_NR_GR_TR_S_OTG_XDC,11358.264455,million PKR,mof_general_govt_operations_sdmx,quarterly
2016-09-30,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-440821.5,million PKR,mof_general_govt_operations_sdmx,quarterly
2016-12-31,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-796299.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2017-03-31,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-1480929.2000000002,million PKR,mof_general_govt_operations_sdmx,quarterly
2017-06-30,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-2260380.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2017-09-30,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-541676.5,million PKR,mof_general_govt_operations_sdmx,quarterly
2017-12-31,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-1029902.4000000004,million PKR,mof_general_govt_operations_sdmx,quarterly
2018-03-31,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-1922480.2130000005,million PKR,mof_general_govt_operations_sdmx,quarterly
2018-06-30,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-3444916.0,million PKR,mof_general_govt_operations_sdmx,quarterly
2018-09-30,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-286023.5888,million PKR,mof_general_govt_operations_sdmx,quarterly
2018-12-31,"Pakistan Definition,General Government Operations, Budget balance (excluding grants), National Currency [PAK_GGO_BBEG_XDC]",-994716.0,million PKR,mof_general_govt_operations_sdmx,quarterly
