date,series,value,unit,source_id,frequency
1991-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",30.17,million number,pbs_labour_sdmx,annual
1992-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",29.14,million number,pbs_labour_sdmx,annual
1993-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",30.19,million number,pbs_labour_sdmx,annual
1994-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",31.06,million number,pbs_labour_sdmx,annual
1995-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",31.68,million number,pbs_labour_sdmx,annual
1996-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",31.83,million number,pbs_labour_sdmx,annual
1997-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",33.13,million number,pbs_labour_sdmx,annual
1998-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",35.16,million number,pbs_labour_sdmx,annual
1999-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",36.94,million number,pbs_labour_sdmx,annual
2000-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",36.32,million number,pbs_labour_sdmx,annual
2001-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",37.32,million number,pbs_labour_sdmx,annual
2002-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",38.88,million number,pbs_labour_sdmx,annual
2003-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",39.64,million number,pbs_labour_sdmx,annual
2004-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",42.0,million number,pbs_labour_sdmx,annual
2005-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",42.24,million number,pbs_labour_sdmx,annual
2006-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",47.37,million number,pbs_labour_sdmx,annual
2007-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",49.68,million number,pbs_labour_sdmx,annual
2008-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",50.45,million number,pbs_labour_sdmx,annual
2009-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",52.86,million number,pbs_labour_sdmx,annual
2010-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",53.76,million number,pbs_labour_sdmx,annual
2011-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",54.4,million number,pbs_labour_sdmx,annual
2012-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",55.8,million number,pbs_labour_sdmx,annual
2013-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",56.1,million number,pbs_labour_sdmx,annual
2014-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",56.52,million number,pbs_labour_sdmx,annual
2015-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",57.42,million number,pbs_labour_sdmx,annual
2016-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",58.574142,million number,pbs_labour_sdmx,annual
2017-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",59.0954518637999,million number,pbs_labour_sdmx,annual
2018-06-30,"Labor Markets, Employment, Persons, Number of, Fiscal Year [LE_PE_FY_NUM]",61.71,million number,pbs_labour_sdmx,annual
