date,series,value,unit,source_id,frequency
2008-01-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1010.078,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-02-29,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",904.189,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-03-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1322.642,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-04-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1634.023,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-05-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1661.598,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-06-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1333.744,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-07-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",841.685,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-08-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",676.37,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-09-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1951.747,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-10-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1975.577,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-11-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1717.897,million PKR,pbs_merchandise_trade_sdmx,monthly
2008-12-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1411.09,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-01-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1488.246,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-02-28,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1457.022,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-03-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1932.101,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-04-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1779.141,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-05-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1849.658,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-06-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1384.37,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-07-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",547.071,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-08-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",796.662,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-09-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1487.567,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-10-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",2064.685,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-11-30,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1848.091,million PKR,pbs_merchandise_trade_sdmx,monthly
2009-12-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1378.838,million PKR,pbs_merchandise_trade_sdmx,monthly
2010-01-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1543.05,million PKR,pbs_merchandise_trade_sdmx,monthly
2010-02-28,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",1478.625,million PKR,pbs_merchandise_trade_sdmx,monthly
2010-03-31,"External Trade, Exports, Goods, Value, By Central Product Classification (CPC) Version 2.1, Agriculture, forestry and fishery products, Fish and other fishing products, Free on Board, National Currency [TXG_CPC21_04_FOB_XDC]",2070.654,million PKR,pbs_merchandise_trade_sdmx,monthly
