date,series,value,unit,source_id,frequency
2015-09-30,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4181698.6595233995,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2015-12-31,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4324803.345632358,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2016-03-31,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4408731.934303044,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2016-06-30,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4346379.050941197,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2016-09-30,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4369551.934643165,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2016-12-31,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4530737.013398838,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2017-03-31,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4684595.780378007,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2017-06-30,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4647126.382994047,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2017-09-30,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4728176.069681529,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
2017-12-31,"National Accounts, Activity, Gross Domestic Product, Production Approach, By Industrial Sector, Industry (Secondary), Services (Tertiary), Nominal, National Currency [NGDPS_XDC] (BASE_PER=2015-16)",4817088.147991485,million PKR,pbs_quarterly_national_accounts_sdmx,quarterly
