date,series,value,unit,source_id,frequency
1971-06-30,Balance of Trade [a-c] (annual),-503.52941176470597,million USD,sbp_balance_of_trade,annual
1972-06-30,Balance of Trade [a-c] (annual),-329.2991340345576,million USD,sbp_balance_of_trade,annual
1973-06-30,Balance of Trade [a-c] (annual),-122.90937787250118,million USD,sbp_balance_of_trade,annual
1974-06-30,Balance of Trade [a-c] (annual),-473.40404040404053,million USD,sbp_balance_of_trade,annual
1975-06-30,Balance of Trade [a-c] (annual),-1136.5757575757577,million USD,sbp_balance_of_trade,annual
1976-06-30,Balance of Trade [a-c] (annual),-977.2929292929291,million USD,sbp_balance_of_trade,annual
1977-06-30,Balance of Trade [a-c] (annual),-1286.363636363636,million USD,sbp_balance_of_trade,annual
1978-06-30,Balance of Trade [a-c] (annual),-1677.1717171717178,million USD,sbp_balance_of_trade,annual
1979-06-30,Balance of Trade [a-c] (annual),-2171.616161616161,million USD,sbp_balance_of_trade,annual
1980-06-30,Balance of Trade [a-c] (annual),-2515.7575757575746,million USD,sbp_balance_of_trade,annual
1981-06-30,Balance of Trade [a-c] (annual),-2764.848484848485,million USD,sbp_balance_of_trade,annual
1982-06-30,Balance of Trade [a-c] (annual),-3455.0040123085355,million USD,sbp_balance_of_trade,annual
1983-06-30,Balance of Trade [a-c] (annual),-2990.9975737514937,million USD,sbp_balance_of_trade,annual
1984-06-30,Balance of Trade [a-c] (annual),-3324.9493443837296,million USD,sbp_balance_of_trade,annual
1985-06-30,Balance of Trade [a-c] (annual),-3559.265000695586,million USD,sbp_balance_of_trade,annual
1986-06-30,Balance of Trade [a-c] (annual),-3057.4505085673973,million USD,sbp_balance_of_trade,annual
1987-06-30,Balance of Trade [a-c] (annual),-2305.0924122260694,million USD,sbp_balance_of_trade,annual
1988-06-30,Balance of Trade [a-c] (annual),-2556.017604831065,million USD,sbp_balance_of_trade,annual
1989-06-30,Balance of Trade [a-c] (annual),-2573.2169906873087,million USD,sbp_balance_of_trade,annual
1990-06-30,Balance of Trade [a-c] (annual),-2490.1217352105223,million USD,sbp_balance_of_trade,annual
1991-06-30,Balance of Trade [a-c] (annual),-2493.203075852607,million USD,sbp_balance_of_trade,annual
1992-06-30,Balance of Trade [a-c] (annual),-2238.2113779187566,million USD,sbp_balance_of_trade,annual
1993-06-30,Balance of Trade [a-c] (annual),-3267.250273235828,million USD,sbp_balance_of_trade,annual
1994-06-30,Balance of Trade [a-c] (annual),-2007.3413465653157,million USD,sbp_balance_of_trade,annual
1995-06-30,Balance of Trade [a-c] (annual),-2522.269880146144,million USD,sbp_balance_of_trade,annual
1996-06-30,Balance of Trade [a-c] (annual),-3704.0,million USD,sbp_balance_of_trade,annual
1997-06-30,Balance of Trade [a-c] (annual),-3140.0,million USD,sbp_balance_of_trade,annual
1998-06-30,Balance of Trade [a-c] (annual),-1867.0,million USD,sbp_balance_of_trade,annual
1999-06-30,Balance of Trade [a-c] (annual),-2085.0,million USD,sbp_balance_of_trade,annual
2000-06-30,Balance of Trade [a-c] (annual),-1411.0,million USD,sbp_balance_of_trade,annual
2001-06-30,Balance of Trade [a-c] (annual),-1268.0,million USD,sbp_balance_of_trade,annual
2002-06-30,Balance of Trade [a-c] (annual),-294.0,million USD,sbp_balance_of_trade,annual
2003-06-30,Balance of Trade [a-c] (annual),-444.0,million USD,sbp_balance_of_trade,annual
2004-06-30,Balance of Trade [a-c] (annual),-1207.9996656399999,million USD,sbp_balance_of_trade,annual
2005-06-30,Balance of Trade [a-c] (annual),-4514.707679999998,million USD,sbp_balance_of_trade,annual
2006-06-30,Balance of Trade [a-c] (annual),-8321.024800000003,million USD,sbp_balance_of_trade,annual
2007-06-30,Balance of Trade [a-c] (annual),-9572.136645320003,million USD,sbp_balance_of_trade,annual
2008-06-30,Balance of Trade [a-c] (annual),-14835.158673560003,million USD,sbp_balance_of_trade,annual
2009-06-30,Balance of Trade [a-c] (annual),-12541.777598,million USD,sbp_balance_of_trade,annual
