date,series,value,unit,source_id,frequency
1969-06-30,(i) State Bank of Pakistan,5038.757,million PKR,sbp_broad_money_m2,monthly
1969-07-31,(i) State Bank of Pakistan,5325.106,million PKR,sbp_broad_money_m2,monthly
1969-08-31,(i) State Bank of Pakistan,5220.458,million PKR,sbp_broad_money_m2,monthly
1969-09-30,(i) State Bank of Pakistan,5071.365,million PKR,sbp_broad_money_m2,monthly
1969-10-31,(i) State Bank of Pakistan,4969.338999999999,million PKR,sbp_broad_money_m2,monthly
1969-11-30,(i) State Bank of Pakistan,5059.344999999999,million PKR,sbp_broad_money_m2,monthly
1969-12-31,(i) State Bank of Pakistan,5247.705,million PKR,sbp_broad_money_m2,monthly
1970-01-31,(i) State Bank of Pakistan,5117.629000000002,million PKR,sbp_broad_money_m2,monthly
1970-02-28,(i) State Bank of Pakistan,5616.768000000001,million PKR,sbp_broad_money_m2,monthly
1970-03-31,(i) State Bank of Pakistan,5613.494000000001,million PKR,sbp_broad_money_m2,monthly
1970-04-30,(i) State Bank of Pakistan,5638.871999999999,million PKR,sbp_broad_money_m2,monthly
1970-05-31,(i) State Bank of Pakistan,5688.884999999999,million PKR,sbp_broad_money_m2,monthly
1970-06-30,(i) State Bank of Pakistan,5711.116,million PKR,sbp_broad_money_m2,monthly
1970-07-31,(i) State Bank of Pakistan,5635.405999999999,million PKR,sbp_broad_money_m2,monthly
1970-08-31,(i) State Bank of Pakistan,5844.944999999999,million PKR,sbp_broad_money_m2,monthly
1970-09-30,(i) State Bank of Pakistan,5854.999000000001,million PKR,sbp_broad_money_m2,monthly
1970-10-31,(i) State Bank of Pakistan,5842.1709999999985,million PKR,sbp_broad_money_m2,monthly
1970-11-30,(i) State Bank of Pakistan,6201.135,million PKR,sbp_broad_money_m2,monthly
1970-12-31,(i) State Bank of Pakistan,6483.728000000001,million PKR,sbp_broad_money_m2,monthly
1971-01-31,(i) State Bank of Pakistan,6585.927999999998,million PKR,sbp_broad_money_m2,monthly
1971-02-28,(i) State Bank of Pakistan,6682.249999999999,million PKR,sbp_broad_money_m2,monthly
1971-03-31,(i) State Bank of Pakistan,6733.128000000002,million PKR,sbp_broad_money_m2,monthly
1971-04-30,(i) State Bank of Pakistan,7209.993000000004,million PKR,sbp_broad_money_m2,monthly
1971-05-31,(i) State Bank of Pakistan,6961.413,million PKR,sbp_broad_money_m2,monthly
1971-06-30,(i) State Bank of Pakistan,6038.385,million PKR,sbp_broad_money_m2,monthly
1971-07-31,(i) State Bank of Pakistan,4724.635,million PKR,sbp_broad_money_m2,monthly
1971-08-31,(i) State Bank of Pakistan,5517.497000000001,million PKR,sbp_broad_money_m2,monthly
1971-09-30,(i) State Bank of Pakistan,5819.610999999999,million PKR,sbp_broad_money_m2,monthly
1971-10-31,(i) State Bank of Pakistan,6197.581,million PKR,sbp_broad_money_m2,monthly
1971-11-30,(i) State Bank of Pakistan,6817.728,million PKR,sbp_broad_money_m2,monthly
1971-12-31,(i) State Bank of Pakistan,6919.767,million PKR,sbp_broad_money_m2,monthly
1972-01-31,(i) State Bank of Pakistan,7361.861999999999,million PKR,sbp_broad_money_m2,monthly
1972-02-29,(i) State Bank of Pakistan,7209.118,million PKR,sbp_broad_money_m2,monthly
