date,series,value,unit,source_id,frequency
2006-06-30,- Carpets and rugs,4589.07,million PKR,sbp_credit_loans_by_borrower,monthly
2006-07-31,- Carpets and rugs,4481.345,million PKR,sbp_credit_loans_by_borrower,monthly
2006-08-31,- Carpets and rugs,4696.077,million PKR,sbp_credit_loans_by_borrower,monthly
2006-09-30,- Carpets and rugs,4877.21,million PKR,sbp_credit_loans_by_borrower,monthly
2006-10-31,- Carpets and rugs,4933.747,million PKR,sbp_credit_loans_by_borrower,monthly
2006-11-30,- Carpets and rugs,4576.261,million PKR,sbp_credit_loans_by_borrower,monthly
2006-12-31,- Carpets and rugs,5371.823,million PKR,sbp_credit_loans_by_borrower,monthly
2007-01-31,- Carpets and rugs,5207.471,million PKR,sbp_credit_loans_by_borrower,monthly
2007-02-28,- Carpets and rugs,5082.062,million PKR,sbp_credit_loans_by_borrower,monthly
2007-03-31,- Carpets and rugs,4460.669,million PKR,sbp_credit_loans_by_borrower,monthly
2007-04-30,- Carpets and rugs,4351.703,million PKR,sbp_credit_loans_by_borrower,monthly
2007-05-31,- Carpets and rugs,4399.765,million PKR,sbp_credit_loans_by_borrower,monthly
2007-06-30,- Carpets and rugs,4778.076,million PKR,sbp_credit_loans_by_borrower,monthly
2007-07-31,- Carpets and rugs,4694.003,million PKR,sbp_credit_loans_by_borrower,monthly
2007-08-31,- Carpets and rugs,4546.569,million PKR,sbp_credit_loans_by_borrower,monthly
2007-09-30,- Carpets and rugs,6174.066,million PKR,sbp_credit_loans_by_borrower,monthly
2007-10-31,- Carpets and rugs,5926.562,million PKR,sbp_credit_loans_by_borrower,monthly
2007-11-30,- Carpets and rugs,6459.617,million PKR,sbp_credit_loans_by_borrower,monthly
2007-12-31,- Carpets and rugs,7019.008,million PKR,sbp_credit_loans_by_borrower,monthly
2008-01-31,- Carpets and rugs,7042.077,million PKR,sbp_credit_loans_by_borrower,monthly
2008-02-29,- Carpets and rugs,7119.864,million PKR,sbp_credit_loans_by_borrower,monthly
2008-03-31,- Carpets and rugs,7031.899,million PKR,sbp_credit_loans_by_borrower,monthly
2008-04-30,- Carpets and rugs,6954.0,million PKR,sbp_credit_loans_by_borrower,monthly
2008-05-31,- Carpets and rugs,7719.0,million PKR,sbp_credit_loans_by_borrower,monthly
2008-06-30,- Carpets and rugs,7089.798,million PKR,sbp_credit_loans_by_borrower,monthly
2008-07-31,- Carpets and rugs,9155.269,million PKR,sbp_credit_loans_by_borrower,monthly
2008-08-31,- Carpets and rugs,6706.9317599999995,million PKR,sbp_credit_loans_by_borrower,monthly
