date,series,value,unit,source_id,frequency
2010-10-29 00:00:00,Reserves with SBP,12182.6,million USD,sbp_forex_reserves,weekly
2011-05-07 00:00:00,Reserves with SBP,13589.9,million USD,sbp_forex_reserves,weekly
2011-05-14 00:00:00,Reserves with SBP,13556.1,million USD,sbp_forex_reserves,weekly
2011-05-21 00:00:00,Reserves with SBP,13669.3,million USD,sbp_forex_reserves,weekly
2011-05-28 00:00:00,Reserves with SBP,13906.9,million USD,sbp_forex_reserves,weekly
2011-06-04 00:00:00,Reserves with SBP,13726.6,million USD,sbp_forex_reserves,weekly
2011-06-11 00:00:00,Reserves with SBP,14085.9,million USD,sbp_forex_reserves,weekly
2011-06-18 00:00:00,Reserves with SBP,14107.4,million USD,sbp_forex_reserves,weekly
2011-06-25 00:00:00,Reserves with SBP,14022.2,million USD,sbp_forex_reserves,weekly
2011-07-02 00:00:00,Reserves with SBP,14786.5,million USD,sbp_forex_reserves,weekly
2011-07-09 00:00:00,Reserves with SBP,14638.6,million USD,sbp_forex_reserves,weekly
2011-07-16 00:00:00,Reserves with SBP,14711.4,million USD,sbp_forex_reserves,weekly
2011-07-23 00:00:00,Reserves with SBP,14743.3,million USD,sbp_forex_reserves,weekly
2011-08-06 00:00:00,Reserves with SBP,14465.3,million USD,sbp_forex_reserves,weekly
2011-08-13 00:00:00,Reserves with SBP,14555.1,million USD,sbp_forex_reserves,weekly
2011-08-20 00:00:00,Reserves with SBP,14499.6,million USD,sbp_forex_reserves,weekly
2011-08-27 00:00:00,Reserves with SBP,14447.6,million USD,sbp_forex_reserves,weekly
2011-09-03 00:00:00,Reserves with SBP,14602.9,million USD,sbp_forex_reserves,weekly
2011-09-10 00:00:00,Reserves with SBP,14340.2,million USD,sbp_forex_reserves,weekly
2011-09-17 00:00:00,Reserves with SBP,14123.1,million USD,sbp_forex_reserves,weekly
2011-09-24 00:00:00,Reserves with SBP,13737.8,million USD,sbp_forex_reserves,weekly
2011-10-01 00:00:00,Reserves with SBP,13636.9,million USD,sbp_forex_reserves,weekly
2011-10-08 00:00:00,Reserves with SBP,13460.6,million USD,sbp_forex_reserves,weekly
2011-10-14 00:00:00,Reserves with SBP,13462.1,million USD,sbp_forex_reserves,weekly
2011-10-21 00:00:00,Reserves with SBP,13443.0,million USD,sbp_forex_reserves,weekly
2011-10-28 00:00:00,Reserves with SBP,13409.3,million USD,sbp_forex_reserves,weekly
2011-11-04 00:00:00,Reserves with SBP,13280.6,million USD,sbp_forex_reserves,weekly
2011-11-11 00:00:00,Reserves with SBP,13269.3,million USD,sbp_forex_reserves,weekly
2011-11-18 00:00:00,Reserves with SBP,13202.5,million USD,sbp_forex_reserves,weekly
2011-11-25 00:00:00,Reserves with SBP,13122.4,million USD,sbp_forex_reserves,weekly
2011-12-02 00:00:00,Reserves with SBP,12865.0,million USD,sbp_forex_reserves,weekly
2011-12-09 00:00:00,Reserves with SBP,12807.9,million USD,sbp_forex_reserves,weekly
2011-12-16 00:00:00,Reserves with SBP,12757.6,million USD,sbp_forex_reserves,weekly
2011-12-23 00:00:00,Reserves with SBP,12806.9,million USD,sbp_forex_reserves,weekly
2011-12-24 00:00:00,Reserves with SBP,13150.9,million USD,sbp_forex_reserves,weekly
