date,series,value,unit,source_id,frequency
2000-06-30,1. Crops ( i+ii+iii),2293488.3401639373,million PKR (constant 2015-16),sbp_gdp_annual,annual
2001-06-30,1. Crops ( i+ii+iii),2139845.9979373817,million PKR (constant 2015-16),sbp_gdp_annual,annual
2002-06-30,1. Crops ( i+ii+iii),2072269.2471381708,million PKR (constant 2015-16),sbp_gdp_annual,annual
2003-06-30,1. Crops ( i+ii+iii),2101190.86429126,million PKR (constant 2015-16),sbp_gdp_annual,annual
2004-06-30,1. Crops ( i+ii+iii),2118616.979026612,million PKR (constant 2015-16),sbp_gdp_annual,annual
2005-06-30,1. Crops ( i+ii+iii),2392432.002799484,million PKR (constant 2015-16),sbp_gdp_annual,annual
2006-06-30,1. Crops ( i+ii+iii),2384981.548034523,million PKR (constant 2015-16),sbp_gdp_annual,annual
2007-06-30,1. Crops ( i+ii+iii),2520256.833819057,million PKR (constant 2015-16),sbp_gdp_annual,annual
2008-06-30,1. Crops ( i+ii+iii),2461864.7401817245,million PKR (constant 2015-16),sbp_gdp_annual,annual
2009-06-30,1. Crops ( i+ii+iii),2559066.2120479313,million PKR (constant 2015-16),sbp_gdp_annual,annual
2010-06-30,1. Crops ( i+ii+iii),2425068.0276139425,million PKR (constant 2015-16),sbp_gdp_annual,annual
2011-06-30,1. Crops ( i+ii+iii),2475465.5423885463,million PKR (constant 2015-16),sbp_gdp_annual,annual
2012-06-30,1. Crops ( i+ii+iii),2506342.8506449466,million PKR (constant 2015-16),sbp_gdp_annual,annual
2013-06-30,1. Crops ( i+ii+iii),2576183.5371227358,million PKR (constant 2015-16),sbp_gdp_annual,annual
2014-06-30,1. Crops ( i+ii+iii),2623259.449940896,million PKR (constant 2015-16),sbp_gdp_annual,annual
2015-06-30,1. Crops ( i+ii+iii),2597394.9824314527,million PKR (constant 2015-16),sbp_gdp_annual,annual
2016-06-30,1. Crops ( i+ii+iii),2497153.0,million PKR (constant 2015-16),sbp_gdp_annual,annual
2017-06-30,1. Crops ( i+ii+iii),2531438.0,million PKR (constant 2015-16),sbp_gdp_annual,annual
2018-06-30,1. Crops ( i+ii+iii),2648128.0,million PKR (constant 2015-16),sbp_gdp_annual,annual
2019-06-30,1. Crops ( i+ii+iii),2532070.0,million PKR (constant 2015-16),sbp_gdp_annual,annual
2020-06-30,1. Crops ( i+ii+iii),2692121.0,million PKR (constant 2015-16),sbp_gdp_annual,annual
2021-06-30,1. Crops ( i+ii+iii),2849148.0,million PKR (constant 2015-16),sbp_gdp_annual,annual
2022-06-30,1. Crops ( i+ii+iii),3083439.0,million PKR (constant 2015-16),sbp_gdp_annual,annual
