date,series,value,unit,source_id,frequency
2015-09-30,1. Crops (i+ii+iii) — level,596142.5856811173,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2015-12-31,1. Crops (i+ii+iii) — level,783933.1281896025,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2016-03-31,1. Crops (i+ii+iii) — level,563443.2249172295,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2016-06-30,1. Crops (i+ii+iii) — level,553634.0612120506,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2016-09-30,1. Crops (i+ii+iii) — level,606262.8204445044,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2016-12-31,1. Crops (i+ii+iii) — level,766077.8565975544,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2017-03-31,1. Crops (i+ii+iii) — level,571836.1743233227,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2017-06-30,1. Crops (i+ii+iii) — level,587261.1486346186,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2017-09-30,1. Crops (i+ii+iii) — level,648163.9114636938,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2017-12-31,1. Crops (i+ii+iii) — level,771162.0447030759,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2018-03-31,1. Crops (i+ii+iii) — level,605016.1436043457,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2018-06-30,1. Crops (i+ii+iii) — level,623785.9002288844,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2018-09-30,1. Crops (i+ii+iii) — level,621431.8003270379,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2018-12-31,1. Crops (i+ii+iii) — level,748098.28084152,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2019-03-31,1. Crops (i+ii+iii) — level,577617.4507902684,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2019-06-30,1. Crops (i+ii+iii) — level,584922.4680411734,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2019-09-30,1. Crops (i+ii+iii) — level,654557.8298130083,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2019-12-31,1. Crops (i+ii+iii) — level,806790.950926941,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2020-03-31,1. Crops (i+ii+iii) — level,626589.7492651938,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2020-06-30,1. Crops (i+ii+iii) — level,604182.4699948569,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2020-09-30,1. Crops (i+ii+iii) — level,693767.1346062036,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2020-12-31,1. Crops (i+ii+iii) — level,860222.6194026842,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2021-03-31,1. Crops (i+ii+iii) — level,675697.9751672429,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2021-06-30,1. Crops (i+ii+iii) — level,619460.27082387,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2021-09-30,1. Crops (i+ii+iii) — level,763065.9222323844,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2021-12-31,1. Crops (i+ii+iii) — level,895887.6329226028,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2022-03-31,1. Crops (i+ii+iii) — level,740988.5835070167,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2022-06-30,1. Crops (i+ii+iii) — level,683496.8613379961,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2022-09-30,1. Crops (i+ii+iii) — level,698975.2159415826,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2022-12-31,1. Crops (i+ii+iii) — level,930063.9252842097,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
2023-03-31,1. Crops (i+ii+iii) — level,763936.0395419068,million PKR (constant basic prices),sbp_gdp_quarterly,quarterly
