item,code,Weight,Adjusted Weight,Jul-May FY25,FY26,Provisional May 2025,2026,source_id,vintage
Manufacturing of Food,A,10.69234621394472,13.643385939973399,-2.2082427343549704,7.74898703055078,6.083096047588232,-7.432752569121126,sbp_lsm_production,2026-08-07
"Sugar, Bakery Products and Chocolate",1.,3.427,4.372836670338157,-14.297399734373084,31.54338160140526,44.08400147606426,23.2526193247963,sbp_lsm_production,2026-08-07
Cooking Oil,2.,1.4762,1.8836245966598153,-0.018978219501064597,-1.9700053012295382,0.4212315146255863,-19.59601778673916,sbp_lsm_production,2026-08-07
Vegetable Ghee,3.,1.3753,1.7548766480058555,-1.0595162721871887,-4.898019806369902,-0.07080406367593328,-15.184300613008507,sbp_lsm_production,2026-08-07
Wheat and Rice Milling,4.,3.6576462139447203,4.66714020760461,6.212472480613251,0.7579469587016829,9.237791073250534,-3.1850653980198818,sbp_lsm_production,2026-08-07
Starch & Its Products,5.,0.2714,0.34630518597308896,0.7571937129073003,0.13289380576793075,0.28956210560822093,1.427287336910621,sbp_lsm_production,2026-08-07
Tea Blended,6.,0.4848,0.6186026313918701,-3.3220809540334906,-8.954444589479193,0.6153535761121764,-3.910166432725082,sbp_lsm_production,2026-08-07
Manufacturing of Beverages,B,3.8446999999999996,4.905820001881853,1.9467566449167695,5.430980611890401,4.427224469054081,-12.798005014994306,sbp_lsm_production,2026-08-07
Soft Drinks and Mineral Waters,1.,1.628,2.0773207176278143,9.337705028070896,-1.4893560293550712,2.717216661705235,-11.768036389459336,sbp_lsm_production,2026-08-07
"Juices, Syrups & Squashes",2.,2.214,2.8250540963316837,-3.2365721590874252,10.924052160546772,5.748180252264268,-13.580117174158634,sbp_lsm_production,2026-08-07
Liquors,3.,0.0027,0.003445187922355712,0.0,0.0,0.0,0.0,sbp_lsm_production,2026-08-07
Manufacturing of Tobacco,C,2.0722,2.644117930631669,8.851706036745387,12.791608897462158,-14.426390940423428,13.262370540851553,sbp_lsm_production,2026-08-07
Manufacturing of Textile,D,18.15610089220762,23.167103522557575,2.802339522152897,-0.08810380404600249,0.9832530590614397,-4.345460028231052,sbp_lsm_production,2026-08-07
Yarn,1.,8.8819,11.333264669470813,8.22081883944663,1.2579656353618685,6.518781066029478,-1.2844600526777938,sbp_lsm_production,2026-08-07
Cloth,2.,7.2943,9.307494171125654,0.7188631442372584,0.1675071468201894,0.43218769294093295,0.044816801217328894,sbp_lsm_production,2026-08-07
Jute Goods (Total),3.,0.3318,0.42337531579171306,-30.136880365014306,-39.46941185152386,-53.67991845056066,-67.2975352112676,sbp_lsm_production,2026-08-07
Terry Towels & Bath Robes,4.,0.5925008922076157,0.7560284880809856,1.5182201053140165,-0.9614367711107463,-19.70535755135654,22.20512820512821,sbp_lsm_production,2026-08-07
Woolen & Carpet Yarn,5.,0.0509,0.06494817231403915,2.5066559501682795,-2.739390375379791,38.73762376237626,-16.235504014272973,sbp_lsm_production,2026-08-07
Woolen & Worsted Cloth,6.,0.0867,0.1106288121734223,-17.379182156133833,29.9212598425197,29.032258064516103,31.25000000000002,sbp_lsm_production,2026-08-07
Knitting Wool,7.,0.0073,0.009314767345628406,0.0,0.0,0.0,0.0,sbp_lsm_production,2026-08-07
Woolen Blankets,8.,0.9107,1.1620491262553136,-13.755358673906827,-4.526626238526033,-29.676470588235293,-95.06482643245504,sbp_lsm_production,2026-08-07
Manufacture of Wearing Apparel,E,6.077800665860951,7.755246462410982,5.200322589936346,7.308792728168778,-1.5888104291146066,7.051193597350625,sbp_lsm_production,2026-08-07
Manufacturing of Leather Products,F,1.2292,1.5684537015406077,1.2917885144118735,-2.2464228219780225,0.7826626359971556,-1.0581264289464598,sbp_lsm_production,2026-08-07
Upper Leather,1.,0.3979,0.507718620113088,-13.177147554459523,-8.341223253171748,-6.640237859266607,-4.564755838641177,sbp_lsm_production,2026-08-07
Sole Leather,2.,0.0023,0.0029347897116363472,1.7341040462427904,0.0,0.0,0.0,sbp_lsm_production,2026-08-07
Footwear,3.,0.829,1.0578002917158833,7.667632128063784,-0.089670533105779,3.657331136738051,0.15893197711378537,sbp_lsm_production,2026-08-07
Manufacturing of Wood Products,G,0.17659999999999998,0.2253408100325995,1.214329083181509,-0.5698860227954294,1.8675721561969283,4.333333333333345,sbp_lsm_production,2026-08-07
Manufacturing of Paper & Board,H,1.6262704944991666,2.0751138763451777,0.6804620210602019,1.8905861349731934,-5.101696159776791,6.892496247349933,sbp_lsm_production,2026-08-07
Manufacturing of Coke & Petroleum Products,I,6.6591,8.496981812503304,4.742436727555033,10.564971872460948,2.083573215814405,15.746588635328184,sbp_lsm_production,2026-08-07
Manufacturing of Chemicals,J,6.475999999999999,8.263347031546514,-4.062897881136928,-2.640151969287463,7.0950953569919095,-5.952653017139542,sbp_lsm_production,2026-08-07
Chemicals Products,1.,2.546,3.248684611228756,-12.116176595764705,-3.357626752307996,-12.128270177620593,-8.291871293951258,sbp_lsm_production,2026-08-07
Fertilizers,2.,3.9299999999999997,5.014662420317758,0.9945200550442568,-2.248072691695213,20.369708277114285,-4.773432142677714,sbp_lsm_production,2026-08-07
Manufacturing of Pharmaceuticals Products,K,5.1538,6.576225746013656,2.7175050298344106,-8.068904462249083,1.79318437894469,-23.34442174991038,sbp_lsm_production,2026-08-07
Tablets,1.,2.7251,3.477215410078352,3.3769496245579678,0.20481733715786987,8.1414958674652,-2.1166035241813597,sbp_lsm_production,2026-08-07
Liquids/Syrups,2.,1.6173,2.0636675654910714,3.2447396960168184,-11.10630189336559,-0.0646792497207005,-30.807248764415164,sbp_lsm_production,2026-08-07
Injections,3.,0.4705,0.6003558953586527,-0.7662351959048408,-21.3588575575416,-7.7935184367549315,-45.09870986277756,sbp_lsm_production,2026-08-07
Capsules,4.,0.2302,0.2937341702689944,-0.17354619145509842,-4.818048669078823,1.9693663431857633,-38.06636846450533,sbp_lsm_production,2026-08-07
Galenicals (Tincture),5.,0.0071,0.009059568240268724,24.0,90.32258064516132,50.0,66.66666666666667,sbp_lsm_production,2026-08-07
Ointments,6.,0.1036,0.13219313657631546,-4.429209961212798,1.2629749908947607,1.5876486143211022,-38.243884442349284,sbp_lsm_production,2026-08-07
Manufacturing of Rubber Products,L,0.2419,0.3086633179325358,-2.056215981113374,14.201418512407727,1.3777708625703378,6.57709568438738,sbp_lsm_production,2026-08-07
Cycle Tyres,1.,0.0059,0.007528373608110629,9.532328136979306,11.222585160989285,9.164420485175206,9.629629629629633,sbp_lsm_production,2026-08-07
Cycle Tubes,2.,0.0001,0.00012759955267984118,7.535373478117813,-0.1835985312117483,6.249999999999978,-8.333333333333314,sbp_lsm_production,2026-08-07
Motor Tyres,3.,0.2355,0.300496946561026,-2.455397117861291,14.34846973976489,1.1101153341904757,6.4838928413149866,sbp_lsm_production,2026-08-07
Motor Tubes,4.,0.0004,0.0005103982107193647,3.4595587647616055,1.50787174172764,1.2991659322145965,1.5237865120536709,sbp_lsm_production,2026-08-07
