date,series,value,unit,source_id,frequency
1972-07-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1972-08-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1972-09-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1972-10-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1972-11-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1972-12-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-01-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-02-28,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-03-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-04-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-05-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-06-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-07-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-08-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-09-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-10-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-11-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1973-12-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1974-01-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1974-02-28,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1974-03-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1974-04-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1974-05-31,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1974-06-30,Abu Dhabi,0.0,million USD,sbp_workers_remittances,monthly
1974-07-31,Abu Dhabi,0.61,million USD,sbp_workers_remittances,monthly
1974-08-31,Abu Dhabi,0.58,million USD,sbp_workers_remittances,monthly
1974-09-30,Abu Dhabi,0.56,million USD,sbp_workers_remittances,monthly
1974-10-31,Abu Dhabi,0.69,million USD,sbp_workers_remittances,monthly
1974-11-30,Abu Dhabi,0.59,million USD,sbp_workers_remittances,monthly
1974-12-31,Abu Dhabi,0.85,million USD,sbp_workers_remittances,monthly
1975-01-31,Abu Dhabi,0.79,million USD,sbp_workers_remittances,monthly
1975-02-28,Abu Dhabi,0.92,million USD,sbp_workers_remittances,monthly
1975-03-31,Abu Dhabi,1.07,million USD,sbp_workers_remittances,monthly
1975-04-30,Abu Dhabi,1.05,million USD,sbp_workers_remittances,monthly
1975-05-31,Abu Dhabi,1.26,million USD,sbp_workers_remittances,monthly
1975-06-30,Abu Dhabi,1.57,million USD,sbp_workers_remittances,monthly
1975-07-31,Abu Dhabi,1.22,million USD,sbp_workers_remittances,monthly
1975-08-31,Abu Dhabi,2.15,million USD,sbp_workers_remittances,monthly
1975-09-30,Abu Dhabi,1.49,million USD,sbp_workers_remittances,monthly
1975-10-31,Abu Dhabi,1.56,million USD,sbp_workers_remittances,monthly
1975-11-30,Abu Dhabi,1.84,million USD,sbp_workers_remittances,monthly
1975-12-31,Abu Dhabi,2.05,million USD,sbp_workers_remittances,monthly
1976-01-31,Abu Dhabi,2.23,million USD,sbp_workers_remittances,monthly
1976-02-29,Abu Dhabi,5.11,million USD,sbp_workers_remittances,monthly
1976-03-31,Abu Dhabi,2.4,million USD,sbp_workers_remittances,monthly
1976-04-30,Abu Dhabi,2.04,million USD,sbp_workers_remittances,monthly
